anio,provincia,sexo,grupo_edad,poblacion
2020,pichincha,Hombre,0-14,380410
2020,pichincha,Hombre,15-19,132467
2020,pichincha,Hombre,20-29,279983
2020,pichincha,Hombre,30-44,381888
2020,pichincha,Hombre,45-64,288278
2020,pichincha,Hombre,65+,106785
2020,pichincha,Mujer,0-14,364496
2020,pichincha,Mujer,15-19,129549
2020,pichincha,Mujer,20-29,281004
2020,pichincha,Mujer,30-44,411402
2020,pichincha,Mujer,45-64,316338
2020,pichincha,Mujer,65+,132353
2020,santa_elena,Hombre,0-14,57629
2020,santa_elena,Hombre,15-19,18134
2020,santa_elena,Hombre,20-29,36502
2020,santa_elena,Hombre,30-44,45231
2020,santa_elena,Hombre,45-64,30861
2020,santa_elena,Hombre,65+,11543
2020,santa_elena,Mujer,0-14,54871
2020,santa_elena,Mujer,15-19,17510
2020,santa_elena,Mujer,20-29,35204
2020,santa_elena,Mujer,30-44,41106
2020,santa_elena,Mujer,45-64,31050
2020,santa_elena,Mujer,65+,12869
2020,santo_domingo,Hombre,0-14,78609
2020,santo_domingo,Hombre,15-19,23395
2020,santo_domingo,Hombre,20-29,44153
2020,santo_domingo,Hombre,30-44,52924
2020,santo_domingo,Hombre,45-64,39709
2020,santo_domingo,Hombre,65+,15029
2020,santo_domingo,Mujer,0-14,74555
2020,santo_domingo,Mujer,15-19,22269
2020,santo_domingo,Mujer,20-29,42943
2020,santo_domingo,Mujer,30-44,53235
2020,santo_domingo,Mujer,45-64,41847
2020,santo_domingo,Mujer,65+,15994
2020,sucumbios,Hombre,0-14,34307
2020,sucumbios,Hombre,15-19,10173
2020,sucumbios,Hombre,20-29,18590
2020,sucumbios,Hombre,30-44,22264
2020,sucumbios,Hombre,45-64,17999
2020,sucumbios,Hombre,65+,5562
2020,sucumbios,Mujer,0-14,33028
2020,sucumbios,Mujer,15-19,10050
2020,sucumbios,Mujer,20-29,18214
2020,sucumbios,Mujer,30-44,19971
2020,sucumbios,Mujer,45-64,13437
2020,sucumbios,Mujer,65+,4120
2020,tungurahua,Hombre,0-14,75676
2020,tungurahua,Hombre,15-19,25135
2020,tungurahua,Hombre,20-29,50825
2020,tungurahua,Hombre,30-44,59115
2020,tungurahua,Hombre,45-64,44303
2020,tungurahua,Hombre,65+,22942
2020,tungurahua,Mujer,0-14,72059
2020,tungurahua,Mujer,15-19,24073
2020,tungurahua,Mujer,20-29,49075
2020,tungurahua,Mujer,30-44,63064
2020,tungurahua,Mujer,45-64,55329
2020,tungurahua,Mujer,65+,28276
2020,zamora,Hombre,0-14,18078
2020,zamora,Hombre,15-19,5881
2020,zamora,Hombre,20-29,10962
2020,zamora,Hombre,30-44,10351
2020,zamora,Hombre,45-64,7848
2020,zamora,Hombre,65+,4028
2020,zamora,Mujer,0-14,17450
2020,zamora,Mujer,15-19,6000
